ticker,company,sector_etf,demo_revenue_growth,demo_net_margin,demo_liab_assets,demo_fcf_margin,active_from,active_to,delisting_return_pct
AAPL,Apple,XLK,8,24,0.82,20,,,
MSFT,Microsoft,XLK,14,35,0.65,28,,,
GOOGL,Alphabet,XLC,12,28,0.42,25,,,
AMZN,Amazon,XLY,11,10,0.68,15,,,
META,Meta Platforms,XLC,15,30,0.45,26,,,
NVDA,NVIDIA,XLK,45,55,0.38,45,,,
AMD,AMD,XLK,18,12,0.52,14,,,
CRM,Salesforce,XLK,10,16,0.58,20,,,
ADBE,Adobe,XLK,9,22,0.55,24,,,
NOW,ServiceNow,XLK,18,20,0.6,22,,,
PYPL,PayPal,XLF,5,12,0.78,16,,,
NKE,Nike,XLY,-3,7,0.72,9,,,
DIS,Walt Disney,XLC,2,4,0.8,5,,,
SNOW,Snowflake,XLK,25,-5,0.48,-2,,,
SHOP,Shopify,XLK,22,9,0.5,12,,,
UBER,Uber,XLI,20,10,0.67,13,,,
TSLA,Tesla,XLY,4,6,0.52,8,,,
INTC,Intel,XLK,-8,-18,0.82,-10,,,
NFLX,Netflix,XLC,16,18,0.61,21,,,
ORCL,Oracle,XLK,10,19,0.72,23,,,
JPM,JPMorgan Chase,XLF,7,32,0.88,15,,,
V,Visa,XLF,9,53,0.68,50,,,
JNJ,Johnson & Johnson,XLV,4,18,0.63,20,,,
UNH,UnitedHealth,XLV,8,6,0.77,9,,,
CAT,Caterpillar,XLI,6,12,0.76,14,,,
